Tiempo (s),Voltaje (V)
1.019066572189331,3.2725025847903453
1.019066572189331,3.2686288945260458
1.019066572189331,3.266369241871871
1.019066572189331,3.220530573744327
3.0093295574188232,2.980684584879782
3.0093295574188232,3.2557165936450474
3.0093295574188232,3.112390053865965
3.0093295574188232,3.258299053821247
4.006706237792969,3.069456653436646
4.006706237792969,3.0394355538883246
6.001135349273682,2.903210779593792
6.001135349273682,2.8599545716424477
7.01569414138794,2.9064388548140414
7.01569414138794,2.8386492751888
8.014840602874756,3.258944668865297
8.014840602874756,2.8583405340323225
8.014840602874756,2.8350983924465254
10.009987831115724,3.242804292764049
11.005911111831663,3.253134133468848
13.010528802871704,3.1911550892400555
14.005223512649536,3.2537797485128976
16.015530347824097,2.9771337021375075
16.015530347824097,3.1359550029737875
17.015358448028564,2.9680950915208086
17.015358448028564,3.2560394011670724
18.00458598136902,3.075912803877145
19.016287565231323,2.828319434484001
19.016287565231323,3.006831994163804
24.0057315826416,2.828319434484001
25.0056426525116,2.8205720539554022
25.0056426525116,2.9048248172039166
25.0056426525116,3.0342706335359253
26.0137836933136,2.806045715464279
26.0137836933136,2.950986292853486
27.007206439971924,3.258299053821247
32.00502681732178,3.088179489714093
32.00502681732178,3.2615271290414967
32.00502681732178,2.9057932397699915
34.011481523513794,2.8031404477660544
39.013283014297485,3.252165710902773
40.00929617881775,3.254425363556948
42.001742124557495,2.8034632552880794
43.01459646224976,3.180825248535257
43.01459646224976,3.029751328227576
44.00881767272949,2.9070844698580918
51.01102876663208,3.013288144604303
51.01102876663208,3.029751328227576
55.0092842578888,2.9222564233932644
55.0092842578888,2.87835460039787
55.0092842578888,3.091084757412318
56.008431911468506,2.9548599831177853
56.008431911468506,2.848979115893598
56.008431911468506,2.8092737906845286
